Judul Lagu,Penyanyi,Genre,Lirik Lagu,Tahun Rilis,Label Emosi
yasudah,sal priadi,Pop,"Di seluruh tempat di seluruh dunia
Di manapun lagu cinta ini terputar
Ada film di kepalaku yang terputar
Adegan romantis pemerannya kamu
Di seluruh tempat di seluruh dunia
Di manapun lagu cinta ini terputar
Ada film di kepalaku yang terputar
Adegan romantis pemerannya kamu
Berdiri mengantar pulang matahari
Siluet tubuhmu diterpa ombak biru
Di seluruh tempat di seluruh dunia
Di manapun lagu cinta ini terputar
Ada film di kepalaku yang terputar
Adegan romantis pemerannya kamu
Di seluruh tempat di seluruh dunia
Di manapun lagu cinta ini terputar
Ada film di kepalaku yang terputar
Adegan romantis pemerannya kamu
Menoleh padaku dalam gerak yang lambat bibirku mengucap
Di seluruh tempat di seluruh dunia
Di manapun lagu cinta ini terputar
Ada film di kepalaku yang terputar
Adegan romantis pemerannya kamu
Di seluruh tempat di seluruh dunia
Di manapun lagu cinta ini terputar
Ada film di kepalaku yang terputar
Adegan romantis pemerannya kamu
Berjalan ke altar diantar bapakmu
Tersenyum kau berjalan pelan ke arahku",2024,senang
melebur semesta,sal priadi,Pop,"Mencintaimu
Seumur hidupku
Selamanya
Setia menanti
Walau di hati saja
Seluruh hidupku
Selamanya
Kau tetap milikku
Hanya satu yang tak mungkin kembali
Hanya satu yang tak pernah terjadi
Segalanya
Teramat berarti di hatiku
Selamanya
Mencintaimu
Seumur hidupku
Selamanya
Setia menanti
Hanya satu yang tak mungkin kembali
Hanya satu yang tak pernah terjadi
Segalanya
Teramat berarti di hatiku
Selamanya
Segalanya
Teramat berarti di hatiku
Selamanya
Hanya satu yang tak pernah terjadi
Segalanya
Teramat berarti di hatiku
Selamanya
Hanya satu yang tak mungkin kembali
Hanya satu yang tak pernah terjadi
Segalanya
Teramat berarti di hatiku
Selamanya
Mencintaimu
Seumur hidupku",2023,sedih
nyala,sal priadi,Pop,"Dengan kekuatan bulan yang paling baik
Harapanku besar, dunia kembali asyik
Kelak langit terang, aku bisa terbang
Juga meski mendung, tetap bebas 'tuk berkunjung
Lari ke hadapan
Orang yang kusayang
Tuhan, bolehkah?
Ini yang aku perjuangkan
Ingin kubenamkan wajahku penuh
Di telapak tanganmu yang wangi
Dan terbuka
Nyaman, menenangkan
Ingin kubenamkan wajahku penuh
Di telapak tanganmu yang wangi
Dan terbuka
Nyaman, menenangkan
Dengan kekuatan bulan yang paling baik
Harapanku besar, dunia kembali asyik
Lari ke hadapan
Orang yang kusayang
Tuhan, bolehkah?
Ini yang aku perjuangkan
Ingin kubenamkan wajahku penuh
Di telapak tanganmu yang wangi
Dan terbuka
Nyaman, menenangkan
Ingin segera
Ingin kubenamkan wajahku penuh (inginku)
Di telapak tanganmu yang wangi (benamkan wajahku)
Dan terbuka (di telapak tanganmu yang-)
Nyaman, menenangkan
Inginku
Tenggelamkan wajahku
Di telapak tanganmu yang-",2021,tenang
misteri minggu pagi,sal priadi,Pop,"Foto kita blur tak banyak yang kulihat
Foto kita blur tapi banyak yang aku ingat
Foto kita blur kita pernah begitu dekat
Foto kita blur kini memorinya ku dekap
Pernah ada hati merah muda terbang terbang di atas kepala
Lompat lompat kegirangan lalu duduk duduk manis di pipimu
Juga titik dua tanda bintang dengan banyak tanda tanda seru
Tanpa banyak tanda tanya sering kita saling kirim cium jauh
Memilih nama panggilan mesra kamu blueberry dan aku pastry
Nama depanmu nama belakangku jadi nama toko roti
Ku tutup dengan satu trik sulap kau bisa hilang secepat kilat
Ingin aku tepuk tangan tapi belum juga melihatmu kembali
Foto kita blur tak banyak yang kulihat
Foto kita blur tapi banyak yang aku ingat
Foto kita blur kita pernah begitu dekat
Foto kita blur kini memorinya ku dekap
Foto kita blur tak banyak yang aku lihat
Foto kita blur tapi banyak yang ku ingat
Foto kita blur kita pernah begitu dekat
dekat..
Foto kita blur tak banyak yang aku lihat
Foto kita blur tapi banyak yang ku ingat
Foto kita blur kini memorinya ku dekap
dekap..
Tangisan jelas aku lihat
Senyum yang pernah hiasi duniaku
Masih jelas aku teringat
Bagaimana hariku pernah kelabu
Foto kita blur tak banyak yang kulihat
Foto kita blur tapi banyak yang aku ingat
Foto kita blur kita pernah begitu dekat
Foto kita blur kini memorinya ku dekap",2024,sedih
biar jadi urusanku,sal priadi,Pop,"Ku temukanJejak bibir kecilmu yang berkelanaJauh ke lekukLekuk leher yang bukan leherkuKau berbohongYang mulia kau pendustaBergetar kau bersumpah dibalik tangis yang menderuUntuk lacurnya lakumuKelak terulang lagiKau mintaku runtuhkan bumiDiatas kepalamuDan kupercaya lagiMungkin dikultuskanDalam perjamuanBulir darahkuNamamu seorangHingga mengingkarimu adalah hal yang mustahilKau berbohongYang mulia kau pendustaBergetar kau bersumpah dibalik tangis yang menderuUntuk lacurnya lakumuKelak terulang lagiKau mintaku runtuhkan bumiDiatas kepalamuDan kupercaya lagiMungkin dikultuskanDalam perjamuanBulir darahkuNamamu seorangHingga mengingkarimu adalah hal yang mustahilMungkin dikultuskanDalam perjamuanBulir darahkuNamamu seorangHingga mengingkarimu adalah hal yang mustahil",2020,marah
"malam malam, ubud",sal priadi,Pop,"Kepak iramanya di dada
Diam menabuh raga
Sudut kerling matamu
Pancarkan terang cahaya
Dalam diam sepenuhnya aku
Merayakan memilikimu
Bersemarak dekat dan penuh
Semoga riuhnya bergemuruh di udara
Bertanya tanyalah kau curiga
Darimana asal suara
Dari sini dari aku
Dari sini dari aku
Sudut kerling matamu
Pancarkan terang cahaya
Dalam diam sepenuhnya aku
Merayakan memilikimu
Bersemarak dekat dan penuh
Semoga riuhnya bergemuruh di udara
Bertanya tanyalah kau curiga
Darimana asal suara
Dari sini dari aku
Dari sini dari aku
Mungkin aku masih gerimis yang kecil
Kan jelang kujadi petir petir yang hebat
Dan bila waktunya tiba mungkin aku lebih berani
Bukan dalam diam saja sepenuhnya aku
Merayakan memilikimu
Bersemarak dekat dan penuh
Semoga riuhnya bergemuruh di udara
Bertanya tanya engkau curiga
Darimana asal suara
Dari sini dari aku
Dari sini dari aku
Merayakan memilikimu
Bersemarak dekat dan penuh
Semoga riuhnya bergemuruh di udara
Bertanya tanyalah kau curiga
Darimana asal suara
Dari sini dari aku
Dari sini dari aku
Dari sini dari aku
La la la la",2020,senang
di timur,sal priadi,Pop,"Menetaplah lebih lama
Dari matahari
Akan kekal semua bahagia
Dalam rangkum, adanya rupamu
Dengan cerdiknya siasat kita
'Kan larung semua p'rasaan yang jahat
Ikat aku di tulang belikatmu
Biar ku rebah dan teduh
Sambil dengar ceritamu
Ceritaku
Tentang bagaimana kutemukan
Rasi bintang di matamu
Agar aku tahu ke mana
Aku harus pulang
Ikat aku di tulang belikatmu
Biar ku rebah dan teduh
Sambil dengar ceritamu
Ceritaku
Tentang bagaimana kutemukan
Rasi bintang di matamu
Agar aku tahu ke mana
Aku harus pulang",2020,tenang
besok kita pergi makan,sal priadi,Pop,"Sudah hatinya ini tinggal satu-satunya kau patahkan juga
Lalu dia pakai apa untuk jalani ini semua
Emang ada persewaannya? Ini jelas bukan hal mudah
Dia ambil serpihannya sambil dia bingung mulai darimana beres-beresnya
Yasudah..
Mau tidak mau Ia menatanya sendiri
Tapi kalau sudah rapih kau jangan datang lagi
Janji
Tidak kah kau kasihan dengan bentuk hatinya kini?
Ada garis panjang merah jadi semacam tanda dia orang yang pernah luka
Kalau senyum dibuat-buat mau terlihat selalu kuat
Di malam malamnya sangat sulit tidur padahal kelelahan lelah luar biasa
Yasudah..
Mau tidak mau Ia menatanya sendiri
Tapi kalau sudah rapih jangan datang lagi
Janji
Hari ini ulang tahunku
Tahun kesekian tanpamu
Sebelum tiup lilin
Mamaku meminta sebut satu doa
Dihati kecilku
Darisana bisa kau dengar
Berusaha sekuat tenaga
Sambil bisik bisik dan terbata-bata
Benarkah hatiku berdoa",2024,sedih
irama laot teduh,sal priadi,Pop,"Untuk irama denyit dipan kita
Dan peluh keringatmu jatuh di kening ku
Dan sengal suaramu mengatur nafasmu
Kau teriakkan namaku begitu keras
Diluar hujan turun dengan deras
Malam ini kita buat cinta
Ku rebahkan kamu
Kau merebahkan ku
Dalam semestamu
Yang begitu cantik begitu romantis
Diluar hujan turun dengan deras oh
Malam ini kita buat cinta
Ku rebahkan kamu
Kau merebahkanku
Dalam semestamu
Yang begitu cantik begitu romantis oh
Diluar hujan turun dengan deras",2020,senang
ada titik-titik di ujung doa,sal priadi,Pop,"Kubawakan, kubawakan
Kau nyala api
Tiuplah, tiuplah
Mati kembali
Mari kita rayakan cemburu
Yang sedang ganas-ganasnya menyerang
Tepat di ulu hatimu
Beri juga, beri juga
Tepuk tangan yang riuh
Untuk dia, untuk dia
Yang memilih menjauh
Bergegas, berkemas, berlayar
Dari tangisanmu yang mulai membandang
Saat kau sedang sayang-sayangnya
Di bawah bulan yang bulat sempurna
Kau mintaku bersaksi
Aku ingin jadi jantungmu
Dan berhenti semauku
Agar kau tahu
Rasanya hampir mati ditikam
Patah hati
Aku ingin jadi jantungmu
Dan berhenti semauku
Agar kau tahu
Rasanya hampir mati ditikam
Patah hati
Aku ingin jadi jantungmu
Dan berhenti semauku
Agar kau tahu
Rasanya hampir mati ditikam
Patah hati
Dengarlah tidak kau suara itu
Dengarlah tidak kau suara itu
Dengarlah tidak kau suara itu
Dengarlah tidak kau suara itu
Itu suara retaknya nyawaku",2020,marah
jelita,sal priadi,Pop,"Suara Coltrane meraung
Berputar dari semalam
Minggu pagi cerah
Hati gelisah
Tak tersentuh dingin bintang
Yang kupesan semalam
Cek-cek pesanmu dari siang
Tak kunjung datang
Ingin kukirim kau satu hai kuhiasi
Dengan huruf i berjuta-juta
Kesanku tertarik
Bicara banyak hal denganmu
Topik-topik
Yang menghangatkan atau misteri
Bisa kita pecahkan
Sedang apakah kau di sana
Diculik alien-kah atau memang tak suka
Adakah semalam busanaku
Menarik perhatian terlalu berlebihan
Cek-cek pesan tak datang-datang
Balasanmu tak kunjung datang
Cek-cek pesanmu dari siang
Tak juga datang
Cek-cek pesan tak datang-datang
Balasanmu tak kunjung datang
Cek-cek pesanmu dari siang
Tak juga datang
Cek-cek pesan tak datang-datang
Balasanmu tak kunjung datang
Cek-cek pesanmu dari siang
Tak juga datang
Ingin kukirim kau satu hi kuhiasi
Dengan huruf I berjuta-juta
Kesanku tertarik
Bicara banyak hal denganmu
Topik-topik
Yang menghangatkan atau misteri
Bisa kita pecahkan
Sedang apakah kau di sana
Diculik alien-kah atau memang tak suka
Adakah suara tertawaku
Lengkingnya tak berbentuk membuatmu terganggu oh
Ha ah
Suara Coltrane meraung
Berputar dari semalam
Minggu pagi cerah
Hati gelisah",2020,sedih
ambilkan bintang,sal priadi,Pop,"Kata katamu jelek sekali
Banyak jeda banyak bingungnya
Padahal sudah kutangkap
Akan kemana arah bicara ini
Bilang saja kau jatuh cinta
Dengan orang yang baru
Kau kenal itu
Selesai
Kau khawatirkan keadaanku
Tenang sekarang bukan urusanmu
Tapi ku tau yang aku mau adalah sekarang pulang
Biarku selesaikan di tengah kamarku yang gelap
Biar jadi urusanku
Dengan lagu lagu sedihku
Biar jadi urusanku
Dengan lagu lagu sedihku
Biar ku teriakkan mereka kencang kencang sampai ku tertidur
Meski tidak mungkin nyenyak
Meski tidak mungkin pulas
Takkan mudah bisa ku terlelap
Ku tahu dugaanku benar
Kau bilang kau bukan orang jahat
Kau tanya sekarang mauku apa
Kau minta aku yang putuskan semua
Kejar apa yang kau mau
Jangan ada satupun
Menghentikanmu
Selesai",2024,marah
di mana alamatmu sekarang,sal priadi,Pop,"Kuperintahkan pada langit
Untuk meminta matahari
Kembali pulang, pulang kembali
Ke punggung lautan
Kar'na kurindukan Ibu Bulan
Kumainkan lagu romantisnya
Di Tanah Ubud
Dan kita yang sedang menari di atas merahnya anggur
Seperti sihir, dua bibir kita
Anggun berayun, mendekat, melekat
Jantung kita tak seirama
Apakah ini namanya?
Mungkinkah ini bahasanya
Untuk orang-orang sepertiku?
Apakah mungkin
Ini yang lama aku tunggu?
Seperti sihir, dua bibir kita
Anggun berayun, mendekat, melekat
Jantung kita tak seirama
Apakah ini namanya?",2020,senang
nyalak,sal priadi,Pop,"Katamu kau basah kehujanan
Petir bersahutan begitu kencang
Membuat kau bersedih ketakutan
Tanganku tak cukup panjang
Untuk mendekapmu sekarang
Malam terlalu larut
Tuk mengejar kereta terakhir ke kotamu
Kita kan segera bertemu
Kemasi semua cemasmu
Na nana nana
Na nana
Katamu kau temukan kedai es krim yang lucu
Ingin kau ajakku kesana tapi tak bisa segera
Telefon percuma
Kartu pos juga
Belum cukup canggih
Tuk mengirim rasa
Jauh ke kotaku
Karena kita kan segera bertemu
Kemasi semua cemasmu
Na nana nana
Na nana
Larungkan cemasmu kedalam pelukku
Kelak kita berdua bertemu oh
Larungkan cemasmu ke dalam ciumku
Kelak kita berdua bertemu oh
Larungkan ke dalam cium kita alu kita
Yang takkan hanya sebentar",2020,senang
hanya semalam,sal priadi,Pop,"Ayo, ayo, ayo
Besok kita pergi makan
Hadiah tak seberapa dariku
Kar'na kamu super membanggakan
Ayo pergi ke tempat langganan, disajikannya menu-menu andalan
Untukmu yang juara satu, idolaku s'lalu
Di mata, hati, telingaku
Ayo, ayo, ayo
Besok kita pergi makan
Hadiah tak seberapa dariku
Kar'na kamu super membanggakan
Setelah perjalanan panjangmu yang pasti melelahkan itu
Letakkan sebentar kalau ada beban
Kita senang-senang, makan-makan
T'rima kasih, ku tahu kau bekerja sangat keras
Lelahmu kebaikan yang sangat deras
Hatimu kauserahkan banyak di sana
Tapi hatimu punya orang rumah juga
Sisakan untuk kami, sisa berapa pun juga tak apa
Diterima
Sisakan untuk kami, sisa berapa pun juga tak apa
Diterima
Ayo, ayo, ayo
Besok kita pergi makan (besok kita pergi makan)
Hadiah tak seberapa dariku kar'na kamu s'lalu membahagiakan
Ayo
Besok kita pergi makan",2023,senang
rancang rencana,kunto aji,Pop,"Apa kau sudah siap?
Kapal ini 'kan laju
Aku jadi kaptennya, kupegang kendalinya
Kau perhatikan petanya
Kalau ada yang goyah
Tanyakan kepadaku
Mudah-mudahan aku selalu cukup tahu
Tapi kalau tidak
Keberatankah kau
Bila kita cari
Apa yang jadi
Penyebabnya?
Awas, ombak besar
Berpegangan yang kencang
Kita akan goyang, kita akan goyang, goyang, goyang
Tapi jangan gentar
Ini 'kan terlewatkan
ah-ah-ah
Irama laut teduh
Bersamamu, oh-oh
Ta-ra-ra-ra-ra-ra-ra-ra
Ta-ra-ra-ra
Irama laut teduh
Bersamamu, oh-oh
Keberatankah kau
Bila kita cari
Apa yang jadi
Penyebabnya?
Awas, ombak besar
Berpegangan yang kencang
Kita akan goyang, kita akan goyang, goyang, goyang
Tapi jangan gentar
Ini 'kan terlewatkan
Ah-ah-ah
Irama laut teduh
Bersamamu, oh-oh
Lintasi
Luas biru samudra
Terbit terang, gelap sirna
Kita ini duo tangguh
Irama laut teduh
Bersamamu, oh-oh
Apa kau sudah siap? (Siap)
Kapal ini 'kan laju (laju)
Irama laut teduh
Bersamamu, oh-oh
Kalau ada yang goyah (goyah)
Janganlah kau gentar (jangan, jangan)
Irama laut teduh
Bersamamu, oh-oh
Ta-ra-ra-ra-ra-ra",2020,tenang
rehat,kunto aji,Pop,"Ada titik-titik di ujung doa
Doa keselamatan penutup malam yang harus diisi nama
Maka kuisi dengan namamu
Nama lengkapmu, hurufnya kuhias berjuta warna

Sebisanya aku gambarkan juga bunga-bunga
Lengkap dengan kupu-kupu terbang di sekitarnya

Aku mencoba gambarkan juga
Bentuk wajahmu meski yang kuingat matamu saja
Kalau jelek, kamu jelas gak boleh marah-marah
Kapan terakhir bertemu, bahkan ku sudah lupa

Ada titik-titik di ujung doa-doa keselamatan penutup malam
Kuisi dengan namamu
Kucoba memaafkanmu selalu
Kalau di situ ada salahku, maafkanku juga

Kini rasanya sulit sekali
Ingat hatiku dihancurkan jadi berkeping-keping
Kali ini aku coba merakitnya lagi
Meski kalau diamati agak aneh bentuknya

Ada titik-titik di ujung doa-doa keselamatan penutup malam
Kuisi dengan namamu
Kucoba memaafkanmu selalu
Kalau di situ ada salahku, maafkanku juga

Ada titik-titik di ujung doa-doa
Selamat penutup malam
Kuisi dengan namamu
Kucoba memaafkanmu selalu
Terselipkah aku di sana?
Di doa-doamu juga

Di manapun kau kini berada
Ada titik-titik",2024,sedih
saudade,kunto aji,Pop,"Dalam upaya meringkus
Penyebab parau suaramu
Biru dan sembab berantakan
Jelita kau harus cantik lagi
Keraslah percaya
Canggih tubuhmu
Akan menemukan cara terbaik
Menyembuhkan lukanya sendiri
Mekarlah kau abadi
Di taman-taman hati
Yang bunganya kau rapihkan diri
Riang menari
Menarilah kau terus
Keraslah percaya
Canggih tubuhmu akan
Menemukan cara terbaik
Menyembuhkan lukanya sendiri
Mekarlah kau abadi
Di taman-taman hati
Yang bunganya kau rapihkan diri
Riang menari
Menarilah kau terus",2020,tenang
pilu membiru,kunto aji,Pop,"Ambilkan bintang, Nak
Ambilkan bintang, Nak
Bintang terang yang banyak jumlahnya
Kuambilkan bintang, Pak
Ambilkan bintang, Pak
Meski bintangnya jauh disana
Kudengar dari bintang jatuh
Anak baik harus patuh
Biar selamat sampai jauh
Ambilkan bintang, Nak
Ambilkan bintang, Nak
Bintang terang yang banyak jumlahnya
Kuambilkan bintang, Pak
Ambilkan bintang, Pak
Tapi malam hilang cahayanya
Anak baik tak harus jatuh
Kalau rasi bintang runtuh
Cari selamat sampai jauh
Ambilkan bintang, Nak
Kuambilkan bintang, Pak
Tapi malam hilang cahayanya
Anak baik tak harus jatuh
Kalau rasi bintang runtuh
Cari selamat sampai jauh
Tak mau malam hilang cahayanya
Tak mau (tak mau) malam (malam)
Hilang (hilang) cahayanya (cahayanya)
Tak mau malam hilang cahayanya
Tak mau (tak mau) malam (tak mau)
Hilang (tak mau) cahayanya (ambilkan)
Tak mau malam hilang cahayanya
Tak mau malam hilang cahayanya
Tak mau malam hilang cahayanya
Tak mau malam hilang cahayanya",2022,tenang
mercusuar,kunto aji,Pop,"Masih kusirami bunga-bungamu dalam pot itu
Hampir setiap hari sesuai instruksimu
Di kertas yang kau tulis tangan
Masih ada dan selalu menempel di dinding ruangan
Masih kubiarkan langganan majalahmu
Dikirim ke tempatku menumpuk di atas rak buku
Topik-topik yang sering kau ceritakan
Asing kadang tak mengerti kucoba slalu dengarkan
Di mana alamatmu sekarang?
Apakah sudah kau temukan
Rumah dalam bentuk orang yang kau sayang
Kira-kira seberapa lama kali ini kau kan bertahan?
Masih kan terbuka tak pernah kukunci pintunya
Barangkali di luar hujan kau datang
Sisi tempat tidurmu masih selalu
Kurapihkan
Di mana alamatmu sekarang?
Apakah sudah kau temukan
Rumah dalam bentuk orang yang kau sayang
Kira-kira seberapa lama kali ini kau kan bertahan?
Di mana alamatmu sekarang?
Apakah sudah kau temukan
Rumah dalam bentuk orang yang kau sayang
Kira-kira seberapa lama kali ini kau kan bertahan?
Kau kan bertahan
Kau kan bertahan
Kau kan bertahan
Kau kan bertahan",2024,sedih
jangan melamun saat hujan,kunto aji,Pop,"Kubawakan, kubawakan
Kau nyala api
Tiuplah, tiuplah

Mati kembali
Mari kita rayakan cemburu
Yang sedang ganas-ganasnya menyerang
Tepat di ulu hatimu

Beri juga, beri juga
Tepuk tangan yang riuh
Untuk dia, untuk dia

Yang memilih menjauh
Bergegas, berkemas, berlayar
Dari tangisanmu yang mulai membandang
Saat kau sedang sayang-sayangnya
Di bawah bulan yang bulat sempurna
Kau mintaku bersaksi

Aku ingin jadi jantungmu
Dan berhenti semauku
Agar kau tahu
Rasanya hampir mati ditikam
Patah hati
Aku ingin jadi jantungmu
Dan berhenti semauku

Agar kau tahu
Rasanya hampir mati ditikam
Patah hati
Aku ingin jadi jantungmu
Dan berhenti semauku
Agar kau tahu
Rasanya hampir mati ditikam
Patah hati

Dengarlah tidak kau suara itu
Dengarlah tidak kau suara itu
Dengarlah tidak kau suara itu
Dengarlah tidak kau suara itu

Itu suara retaknya nyawaku",2020,marah
ekspektasi,kunto aji,Pop,"Hanya semalam yang kupinta lagi
Sedetik sekejap cukuplah
Usah dikau bimbang akan rahasia ini
Walaupun rembulan mengetahui
Hanya semalam sebagai kenangan
Terakhir asmara dilara
Aku kan berjanji sehidup semati
Dengan kenangan yang abadi
Aduhai kemala puspa sari
Tega nian daku begini
Dilamun gelombang rona mimpi
Merana merayu menepi
Hanya semalam yang kupinta lagi
Sedetik sekejap cukuplah
Terimalah kasih permintaan ku ini
Nan akhir dimalam nanti
Nan akhir dimalam nanti",2022,sedih
topik semalam,kunto aji,Pop,"Dalam kuingat
Suara terdengar
Jangan berubah
Jangan berubah
Kita siap tuk berlari
Lebih jauh dari ini
Lihat gelasmu kau habiskan dulu
Malam segera berakhir
Esok kita singkap takdir
Katamu
Dalam kuingat
Suara terdengar
Jangan berubah
Jangan berubah
Ku terjebak dalam pusaran waktu
Kau menahanku tak terburu-buru
Ambisiku impianku
Yang membutakan ah
Dalam kuingat
Suara terdengar
Jangan berubah
Jangan berubah
Dalam kuingat
Suara terdengar
Jangan berubah
Kau yang kukenal
Ha ha",2018,tenang
terlalu lama sendiri,kunto aji,Pop,"Serat serat harapan
Masih terjalin suaramu terdengar
Masihlah nyaring dan bergema
Di ruang-ruang hatimu
Tenangkan hati
Semua ini bukan salahmu
Jangan berhenti
Yang kau takutkan takkan terjadi
Yang dicari hilang
Yang dikejar lari
Yang ditunggu
Yang diharap
Biarkanlah semesta bekerja
Untukmu
Tenangkan hati
Semua ini bukan salahmu
Jangan berhenti
Yang kau takutkan takkan terjadi
Kita coba lagi
Untuk lain hari
Kita coba lagi
Yang ditunggu
Yang diharap
Biarkanlah semesta bekerja
Untukmu
Tenangkan hati
Semua ini bukan salahmu
Terus berlari
Yang kau takutkan takkan terjadi",2018,tenang
jakarta jakarta,kunto aji,Pop,"Dikatakan oleh angin
Yang menghasilkan gelombang
Jadilah besar bestari
Dan manfaat tuk sekitar
Dikatakan awan hitam
Sebelum datangnya hujan
Biarlah aku dikutuk
Dan engkau yang dirayakan
Perjalanan takdir dan kenangan
Berselimut doa
Hangatnya akan terjaga
Selalu ada menemanimu
Sampai kita
Dihapuslah
Jadi besar dan bestari
Serap yang baik untukmu
Oh di sana
Berdirilah engkau
Dengan senyuman dan keping harapan
Di belakang
Tempatmu bersandar
Tanganku terbuka
Kapan pun kau ingat
Pulang
Selalu ada menemanimu
Sampai kita
Dihapuslah
Jadi besar dan bestari
Serap yang baik untukmu
Apa pun yang kau hadapi",2018,tenang
rona merah langit,kunto aji,Pop,"Akhirnya aku lihat lagi
Sederhana tanpa banyak celah wangimu
Berlalu
Akhirnya aku lihat lagi
Jemarimu yang bergerak bebas
Seiring
Tawamu
Tak ada yang seindah matamu
Hanya rembulan
Tak ada yang selembut sikapmu
Hanya lautan
Tak tergantikan oh
Walau kita tak lagi saling
Menyapa
Akhirnya aku lihat lagi
Akhirnya aku temui oh
Tercekat lidahku
Masih banyak yang belum sempat
Aku katakan padamu
Masih banyak yang belum sempat
Aku sampaikan padamu
Masih banyak yang belum sempat
Aku katakan padamu
Masih banyak yang belum sempat
Aku sampaikan padamu
Masih banyak yang belum sempat
Aku katakan padamu
Masih banyak yang belum sempat
Aku sampaikan padamu
Tak ada yang seindah matamu
Hanya rembulan
Tak ada yang selembut sikapmu
Hanya lautan
Tak tergantikan oh
Walau kita tak lagi saling
Menyapa",2018,sedih
melepas pelukan ibu,kunto aji,Pop,"Dari yang sudah sudah
Cinta hanyalah bualan
Dari yang sudah sudah
Hanya rasa tanpa tujuan
Aku ingin berhenti
Lelah aku mengarungi
Aku ingin bersandar
Menikmati bintang berpijar

Uh, sampai nanti
Sampai kita bertemu kembali
Uh, sampai nanti
Cahayamu menuntunku lagi
Jangkar sudah terjatuh
Aku sudah benar benar luluh

Yang aku lihat terang
Yang kulihat masa depan
Hangat dalam dekapan
Aku merasa sedang pulang

Uh, sampai nanti
Sampai kita bertemu kembali
Uh, sampai nanti
Cahayamu menuntunku lagi
Jangkar sudah terjatuh
Aku sudah benar benar luluh

Kapalku tlah bersauh
Aku tak ingin jauh
Padamulah aku akan berlabuh

Uh, sampai nanti
Sampai kita bertemu kembali
Uh, sampai nanti
Cahayamu menuntunku lagi
Jangkar sudah terjatuh
Aku sudah benar benar luluh

Dari yang sudah sudah
Hanya kaulah arti rumah",2015,tenang
orang asing dalam cermin,kunto aji,Pop,"Jangan melamun saat hujan
Jangan, jangan, jangan
Kau kan terhanyut dalam kenangan
Hilang, hilang, hilang
Rintik mesin waktu mengajakmu terbang menjauh
Jauh, jauh, jauh
Jauh di khayalan
Jangan melamun saat hujan
Jangan, jangan, jangan
Jangan melamun saat hujan
Jangan, jangan, jangan
Walau kadang hangat yang datang bersama senyumku
Tapi ada satu yang lemah yang kurang dariku
Aku, aku, aku
Aku suka hujan
Jangan melamun saat hujan
Jangan, jangan, jangan",2023,tenang
perjalanan menawar racun,kunto aji,Pop,"Sakit hatiku, oh oh
Sakit melihatmu dengannya

Ini malam terakhir
Benar-benar terakhir
Harapan tinggi jatuh
Menguap tak berbentuk
Nyata bukan pertanda
Hanya pikiranku saja
Harapan itu semua
Sulit tuk kupercaya

Sampai akhirnya ku lihat sendiri

Sakit hatiku, oh oh
Sakit melihatmu dengannya

Ini kenyataannya
Tinggal melupakanmu saja
Janji diri sendiri
Terakhir malam ini
Oh, oh

Sakit hatiku, oh oh
Sakit melihatmu dengannya

Mana mungkin hati ini
Terbuai ekspektasi tinggi
Jika tak berawal indah
Sampai akhirnya kau hancurkan

Sakit hatiku, oh oh
Sakit melihatmu dengannya
Sakit hatiku, oh oh
Sakit melihatmu dengannya

Sampai akhirnya aku lewati malam ini",2015,sedih
sulung,kunto aji,Pop,"Sakit hatiku, oh oh
Sakit melihatmu dengannya

Ini malam terakhir
Benar-benar terakhir
Harapan tinggi jatuh
Menguap tak berbentuk
Nyata bukan pertanda
Hanya pikiranku saja
Harapan itu semua
Sulit tuk kupercaya

Sampai akhirnya ku lihat sendiri

Sakit hatiku, oh oh
Sakit melihatmu dengannya

Ini kenyataannya
Tinggal melupakanmu saja
Janji diri sendiri
Terakhir malam ini
Oh, oh

Sakit hatiku, oh oh
Sakit melihatmu dengannya

Mana mungkin hati ini
Terbuai ekspektasi tinggi
Jika tak berawal indah
Sampai akhirnya kau hancurkan

Sakit hatiku, oh oh
Sakit melihatmu dengannya
Sakit hatiku, oh oh
Sakit melihatmu dengannya

Sampai akhirnya aku lewati malam ini",2018,sedih
pengingat,kunto aji,Pop,"Sudah terlalu lama sendiriSudah terlalu lama aku asyik sendiriLama tak ada yang menemani rasanyaPagi ke malam hari tak pernah terlintas di hatiBahkan di saat sendiri aku tak pernah merasa sepiSampai akhirnya kusadari aku tak bisa terus beginiAku harus berusaha tapi mulai darimanaSudah terlalu lama sendiriSudah terlalu lama aku asyik sendiriLama tak ada yang menemani rasanyaSudah terlalu asyik sendiriSudah terlalu asyik dengan duniaku sendiriLama tak ada yang menemani rasanyaTeman-temanku berkata yang kau cari seperti apaKu hanya bisa tertawa nanti pasti ada waktunyaWalau jauh dilubuk hati aku tak ingin terus beginiAku harus berusaha tapi mulai dari manaSudah terlalu lama sendiriSudah terlalu lama aku asyik sendiriLama tak ada yang menemani rasanyaSudah terlalu asyik sendiriSudah terlalu asyik dengan duniaku sendiriLama tak ada yang menemani rasanyaJauh di lubuk hati aku tak ingin sendiri",2015,sedih
